lep1_pt,lep2_pt,lep3_pt,lep1_charge,lep2_charge,lep3_charge,lep1_d0,lep2_d0,lep3_d0,lep1_d0sig,lep2_d0sig,lep3_d0sig,lep1_e,lep2_e,lep3_e,lep1_eta,lep2_eta,lep3_eta,lep1_phi,lep2_phi,lep3_phi,lep1_ptvarcone30,lep2_ptvarcone30,lep3_ptvarcone30,lep1_topoetcone20,lep2_topoetcone20,lep3_topoetcone20,lep1_z0,lep2_z0,lep3_z0,jet_n,met,met_phi
9.578081,14.511304,55.946384,1,-1,-1,0.004878579,0.031990122,0.009821398,0.17550308,1.8414185,0.73285216,14.311689,45.969585,157.84787,-0.9572292,-1.8202982,-1.6973872,-2.0302625,0.5482006,0.992861,32.300423,1.5814834,4.083339,5.315405,1.4765813,-0.26979214,-0.027570724,-0.09586525,-0.046403885,1,77.46247,-2.9322724
56.01706,7.345725,138.80396,-1,-1,1,0.043678213,-0.006343707,-0.00073715445,2.5941284,-0.12874241,-0.06256918,56.157543,37.315937,591.6566,-0.070807345,2.3086176,2.1289585,-0.944575,-3.0338087,2.122852,0.0,52.230125,0.0,-0.57384497,43.842888,-0.14878505,0.12440276,-5.465603,0.1290443,2,100.4036,-0.96456105
92.778206,45.053474,8.751295,1,-1,1,-0.03647538,0.010270433,-0.1038562,-1.6154966,0.6218488,-1.9751326,93.57604,69.63979,8.831308,-0.13105042,1.0022377,-0.13512313,2.0748317,1.8661971,2.063241,0.0,0.0,6.0876517,207.16498,0.8508895,237.37325,0.13186646,0.014560699,101.592316,5,63.300976,1.4941251
29.500113,7.011694,50.272007,-1,1,-1,0.059868265,-0.02894586,-0.02341202,4.0441394,-1.3320875,-1.7475863,72.20655,17.030466,54.95811,1.5436709,1.5352149,-0.4284852,-1.7270868,-1.7184112,0.76191485,73.175415,86.435745,0.0,41.580315,29.27583,3.2175171,-0.8149338,-0.52954865,-0.089149475,2,89.21172,1.9284382
40.01741,21.5752,8.08385,1,-1,1,-0.07040095,0.11093146,-0.050495755,-5.0401955,4.716185,-2.255963,41.691803,39.37201,11.267332,0.2882813,1.2093664,-0.8606659,0.5301986,-2.882959,-2.2172394,1.5052737,12.564666,0.0,21.77278,11.555326,4.5089536,0.010215759,0.21615958,0.031116009,1,23.67372,2.8151128
101.26858,31.973158,9.744617,-1,1,1,0.031626005,0.00812678,0.043941572,2.0094142,0.44901475,1.7287656,141.28381,34.65927,11.86533,0.8620366,-0.40708914,0.6483267,-1.1907362,0.53905636,2.8930583,0.0,0.0,12.3556595,-0.01277893,0.74426687,1.9067464,-0.04250431,-0.009789467,0.21778584,2,52.435852,2.8514578
161.58713,117.35046,28.039888,-1,-1,1,0.026377453,0.008565866,0.0026583823,0.46576548,0.6976343,0.16029464,496.69437,285.91058,82.143295,-1.788502,-1.5386043,-1.7374908,2.9229813,0.076096684,-1.6133151,0.0,0.0,0.0,-1.6193064,-0.4296059,0.07899881,-0.21627426,-0.140841,0.0153512955,5,51.92289,1.4933732
52.082344,9.70671,7.3586135,1,1,-1,-0.017905356,0.2771432,0.17769049,-0.8838846,15.545337,2.4750164,58.338398,12.648786,11.054366,-0.48536167,-0.76015055,0.96441996,0.6894492,1.8883524,0.10067507,0.0,48.66837,13.496499,-0.15431176,60.841015,5.2041984,0.025642395,-0.0043582916,0.35630417,2,36.001472,1.915096
38.860268,8.182675,17.07453,1,1,-1,-0.10958395,0.04218582,-0.001638646,-1.5569996,1.9017906,-0.10015102,69.25804,11.211931,17.487091,-1.1809537,0.83591795,0.21930449,-0.5728483,-1.8073077,1.7911612,0.0,37.92015,0.0,0.06661438,18.851936,1.5994805,-0.08818054,0.62490845,-0.051742554,0,123.786736,1.1016059
9.515173,12.310996,42.739914,1,1,1,0.06807922,-0.0155476965,0.013306872,1.904625,-0.052138813,0.8806321,18.61492,25.780233,244.4582,-1.2913761,-1.3696485,-2.4293272,1.9872113,2.1251385,-2.3308094,51.15894,64.937904,0.0,8.433816,27.283009,1.4317169,-0.10436249,0.21590424,-0.025489807,4,100.529495,3.0994918
8.443945,8.113791,74.69523,-1,1,1,0.039401896,0.02383733,0.0042893677,1.5999756,0.79717433,0.34056103,8.512922,11.782486,275.22815,-0.12773219,0.9183407,1.9783872,-2.822118,-1.1053978,-3.066965,0.0,2.5813365,0.0,2.0289001,3.9919722,-0.21985911,-0.02021408,0.20249557,0.0070266724,3,37.149773,-1.7396271
10.007283,7.747652,40.034065,1,1,1,-0.021446604,0.06341077,0.00038069973,-0.7060173,0.8359634,0.028976636,18.667463,9.318028,132.06248,-1.2354962,-0.626404,-1.8628824,-0.3046297,1.9931854,1.8354601,11.887866,9.28436,0.0,15.497072,5.983212,-0.27407607,0.035331726,0.09143162,-0.032666206,1,47.907475,-0.7072349
24.393816,12.442381,27.324335,1,1,-1,-0.02152149,-0.0217913,0.018672964,-1.0729564,-1.4183166,1.2855107,25.662779,13.91272,27.67481,-0.32116958,0.48148742,0.15994877,-2.1663926,-0.44065553,1.499428,0.0,6.073193,0.0,0.46495423,8.734049,-1.1805341,0.014694214,-0.047973633,0.07874298,4,9.846751,-2.1203794
57.048943,23.081873,8.609133,1,1,-1,0.010817738,0.068904154,0.044410657,0.8597869,3.8147678,0.12727182,65.26204,23.191948,25.15055,0.53035516,-0.09762264,1.7345325,-1.2655402,3.028921,-2.9709733,1.1575774,16.420359,10.095332,0.28150067,5.547099,3.4283195,-0.016952515,-0.08993912,14.142834,6,49.249226,2.9237804
10.096367,8.268964,93.2215,1,-1,-1,0.97085065,-0.6746149,-0.008857676,37.12258,-6.8074684,-0.5912744,10.115895,8.284137,111.9564,-0.062185194,-0.06057081,-0.6238249,-2.1829154,-2.125065,-1.6057305,55.460983,65.22942,0.0,82.837685,110.02343,0.29896706,0.02905655,-0.038021088,-0.0397377,1,45.786896,-2.9029052
119.87749,34.761837,14.878635,1,-1,-1,-0.00840241,0.022776963,-0.025529973,-0.5835465,1.7220131,-1.0339458,143.23532,68.715126,17.922966,-0.61453974,-1.3034236,-0.6292704,3.138503,-3.059855,2.8784592,0.0,10.330784,103.9882,7.348599,46.985847,19.134293,-0.02191925,-0.13532257,-0.024360657,5,145.675,-2.5005896
102.09933,36.525284,9.66043,1,-1,1,-0.016219376,-0.06248177,0.01882888,-1.1560235,-3.3579621,0.67895234,169.78827,62.89558,32.668118,-1.095836,-1.139059,-1.888893,-2.6031535,-1.6004461,3.0128448,0.0,0.0,0.0,1.3124727,-0.21229352,0.58000845,0.062042236,0.12929535,-85.14804,5,49.010437,-2.2289453
83.68937,15.485479,21.552532,-1,-1,1,0.056534015,0.0034248135,-0.008329154,2.963942,0.13361642,-0.5472871,97.69994,23.306416,21.986837,0.57085633,-0.96692663,0.20035996,2.3280504,1.668714,2.6319752,0.0,0.0,0.0,1.9839599,1.1765759,-0.7835393,0.021492004,0.12602234,-0.030517578,1,69.77763,-1.4728775
